,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_types,retweet_count,favorite_count,jpg_url,img_num,dog_prediction,prediction,confident,dog_breed
4589,675531475945709568,2015-12-12 04:23:49 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ellie AKA Queen Slayer of the Orbs. Very self-motivated. Great yard. Rad foliage. 10/10 would pet diligently https://t.co/c9jmg3Xtzn,https://twitter.com/dog_rates/status/675531475945709568/photo/1,10.0,10,Ellie,,1120.0,358.0,https://pbs.twimg.com/media/CV_4ShmUYAA3wNu.jpg,1.0,2.0,Cardigan,0.0273395,True
4590,675531475945709568,2015-12-12 04:23:49 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ellie AKA Queen Slayer of the Orbs. Very self-motivated. Great yard. Rad foliage. 10/10 would pet diligently https://t.co/c9jmg3Xtzn,https://twitter.com/dog_rates/status/675531475945709568/photo/1,10.0,10,Ellie,,1120.0,358.0,https://pbs.twimg.com/media/CV_4ShmUYAA3wNu.jpg,1.0,3.0,Siberian_husky,0.020221,True
4591,675522403582218240,2015-12-12 03:47:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Sammy. He's a Motorola Firefox. Hat under hoodie (must be a half-decent up and coming white rapper) 10/10 https://t.co/rO2zxf0OQ0,https://twitter.com/dog_rates/status/675522403582218240/photo/1,10.0,10,Sammy,,981.0,270.0,https://pbs.twimg.com/media/CV_wCh8W4AEWWZ9.jpg,1.0,1.0,cocker_spaniel,0.299708,True
4592,675522403582218240,2015-12-12 03:47:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Sammy. He's a Motorola Firefox. Hat under hoodie (must be a half-decent up and coming white rapper) 10/10 https://t.co/rO2zxf0OQ0,https://twitter.com/dog_rates/status/675522403582218240/photo/1,10.0,10,Sammy,,981.0,270.0,https://pbs.twimg.com/media/CV_wCh8W4AEWWZ9.jpg,1.0,2.0,golden_retriever,0.263665,True
4593,675522403582218240,2015-12-12 03:47:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Sammy. He's a Motorola Firefox. Hat under hoodie (must be a half-decent up and coming white rapper) 10/10 https://t.co/rO2zxf0OQ0,https://twitter.com/dog_rates/status/675522403582218240/photo/1,10.0,10,Sammy,,981.0,270.0,https://pbs.twimg.com/media/CV_wCh8W4AEWWZ9.jpg,1.0,3.0,Irish_setter,0.0803233,True
4594,675517828909424640,2015-12-12 03:29:35 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12/10 stay woke https://t.co/XDiQw4Akiw,https://twitter.com/dog_rates/status/675517828909424640/photo/1,12.0,10,None,,1223.0,437.0,https://pbs.twimg.com/media/CV_r3v4VAAALvwg.jpg,1.0,1.0,Scottish_deerhound,0.240591,True
4595,675517828909424640,2015-12-12 03:29:35 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12/10 stay woke https://t.co/XDiQw4Akiw,https://twitter.com/dog_rates/status/675517828909424640/photo/1,12.0,10,None,,1223.0,437.0,https://pbs.twimg.com/media/CV_r3v4VAAALvwg.jpg,1.0,2.0,groenendael,0.156916,True
4596,675517828909424640,2015-12-12 03:29:35 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12/10 stay woke https://t.co/XDiQw4Akiw,https://twitter.com/dog_rates/status/675517828909424640/photo/1,12.0,10,None,,1223.0,437.0,https://pbs.twimg.com/media/CV_r3v4VAAALvwg.jpg,1.0,3.0,flat-coated_retriever,0.0908994,True
4600,675497103322386432,2015-12-12 02:07:14 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Reggie. He's going for the world record. Must concentrate. Focus up pup. 11/10 we all believe in you Reggie https://t.co/h3AWz4AzuC,https://twitter.com/dog_rates/status/675497103322386432/photo/1,11.0,10,Reggie,,2966.0,1211.0,https://pbs.twimg.com/media/CV_ZAhcUkAUeKtZ.jpg,1.0,1.0,vizsla,0.5195890000000001,True
4601,675497103322386432,2015-12-12 02:07:14 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Reggie. He's going for the world record. Must concentrate. Focus up pup. 11/10 we all believe in you Reggie https://t.co/h3AWz4AzuC,https://twitter.com/dog_rates/status/675497103322386432/photo/1,11.0,10,Reggie,,2966.0,1211.0,https://pbs.twimg.com/media/CV_ZAhcUkAUeKtZ.jpg,1.0,2.0,miniature_pinscher,0.0647712,True
4602,675497103322386432,2015-12-12 02:07:14 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Reggie. He's going for the world record. Must concentrate. Focus up pup. 11/10 we all believe in you Reggie https://t.co/h3AWz4AzuC,https://twitter.com/dog_rates/status/675497103322386432/photo/1,11.0,10,Reggie,,2966.0,1211.0,https://pbs.twimg.com/media/CV_ZAhcUkAUeKtZ.jpg,1.0,3.0,Rhodesian_ridgeback,0.0614913,True
4603,675489971617296384,2015-12-12 01:38:53 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT until we find this dog. Clearly a cool dog (front leg relaxed out window). Looks to be a superb driver. 10/10 https://t.co/MnTrKaQ8Wn,https://twitter.com/dog_rates/status/675489971617296384/photo/1,10.0,10,None,,1215.0,557.0,https://pbs.twimg.com/media/CV_SimUWoAAvJSY.jpg,1.0,1.0,West_Highland_white_terrier,0.139613,True
4605,675489971617296384,2015-12-12 01:38:53 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT until we find this dog. Clearly a cool dog (front leg relaxed out window). Looks to be a superb driver. 10/10 https://t.co/MnTrKaQ8Wn,https://twitter.com/dog_rates/status/675489971617296384/photo/1,10.0,10,None,,1215.0,557.0,https://pbs.twimg.com/media/CV_SimUWoAAvJSY.jpg,1.0,3.0,Old_English_sheepdog,0.0939522,True
4609,675432746517426176,2015-12-11 21:51:30 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Happy Friday. Here's some golden puppers. 12/10 for all https://t.co/wNkqAED6lG,"https://twitter.com/dog_rates/status/675432746517426176/photo/1,https://twitter.com/dog_rates/status/675432746517426176/photo/1,https://twitter.com/dog_rates/status/675432746517426176/photo/1",12.0,10,None,,1438.0,536.0,https://pbs.twimg.com/media/CV-ef64WoAAbh0I.jpg,1.0,1.0,Labrador_retriever,0.986548,True
4610,675432746517426176,2015-12-11 21:51:30 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Happy Friday. Here's some golden puppers. 12/10 for all https://t.co/wNkqAED6lG,"https://twitter.com/dog_rates/status/675432746517426176/photo/1,https://twitter.com/dog_rates/status/675432746517426176/photo/1,https://twitter.com/dog_rates/status/675432746517426176/photo/1",12.0,10,None,,1438.0,536.0,https://pbs.twimg.com/media/CV-ef64WoAAbh0I.jpg,1.0,2.0,golden_retriever,0.00886185,True
4611,675432746517426176,2015-12-11 21:51:30 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Happy Friday. Here's some golden puppers. 12/10 for all https://t.co/wNkqAED6lG,"https://twitter.com/dog_rates/status/675432746517426176/photo/1,https://twitter.com/dog_rates/status/675432746517426176/photo/1,https://twitter.com/dog_rates/status/675432746517426176/photo/1",12.0,10,None,,1438.0,536.0,https://pbs.twimg.com/media/CV-ef64WoAAbh0I.jpg,1.0,3.0,Chihuahua,0.000693528,True
4612,675372240448454658,2015-12-11 17:51:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The tail alone is 13/10. Great dog, better owner https://t.co/IyAXinfyju",https://twitter.com/dog_rates/status/675372240448454658/photo/1,13.0,10,None,,1596.0,488.0,https://pbs.twimg.com/media/CV9nd30XAAAEba5.jpg,1.0,1.0,Chihuahua,0.4163850000000001,True
4613,675372240448454658,2015-12-11 17:51:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The tail alone is 13/10. Great dog, better owner https://t.co/IyAXinfyju",https://twitter.com/dog_rates/status/675372240448454658/photo/1,13.0,10,None,,1596.0,488.0,https://pbs.twimg.com/media/CV9nd30XAAAEba5.jpg,1.0,2.0,West_Highland_white_terrier,0.102933,True
4614,675372240448454658,2015-12-11 17:51:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The tail alone is 13/10. Great dog, better owner https://t.co/IyAXinfyju",https://twitter.com/dog_rates/status/675372240448454658/photo/1,13.0,10,None,,1596.0,488.0,https://pbs.twimg.com/media/CV9nd30XAAAEba5.jpg,1.0,3.0,Samoyed,0.0872995,True
4615,675362609739206656,2015-12-11 17:12:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Daisy. She loves that shoe. Still no seat belt. Super churlish. 12/10 the dogs are killing it today https://t.co/cZlkvgRPdn,https://twitter.com/dog_rates/status/675362609739206656/photo/1,12.0,10,Daisy,,998.0,212.0,https://pbs.twimg.com/media/CV9etctWUAAl5Hp.jpg,1.0,1.0,Labrador_retriever,0.479008,True
4617,675362609739206656,2015-12-11 17:12:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Daisy. She loves that shoe. Still no seat belt. Super churlish. 12/10 the dogs are killing it today https://t.co/cZlkvgRPdn,https://twitter.com/dog_rates/status/675362609739206656/photo/1,12.0,10,Daisy,,998.0,212.0,https://pbs.twimg.com/media/CV9etctWUAAl5Hp.jpg,1.0,3.0,kuvasz,0.13991099999999998,True
4619,675354435921575936,2015-12-11 16:40:19 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Everyone needs to watch this. 13/10 https://t.co/Bb3xnpsWBC,https://twitter.com/dog_rates/status/675354435921575936/video/1,13.0,10,None,,30731.0,15718.0,https://pbs.twimg.com/ext_tw_video_thumb/675354114423808004/pu/img/qL1R_nGLqa6lmkOx.jpg,1.0,2.0,golden_retriever,0.181351,True
4620,675354435921575936,2015-12-11 16:40:19 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Everyone needs to watch this. 13/10 https://t.co/Bb3xnpsWBC,https://twitter.com/dog_rates/status/675354435921575936/video/1,13.0,10,None,,30731.0,15718.0,https://pbs.twimg.com/ext_tw_video_thumb/675354114423808004/pu/img/qL1R_nGLqa6lmkOx.jpg,1.0,3.0,Brittany_spaniel,0.16208399999999998,True
4621,675334060156301312,2015-12-11 15:19:21 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good morning here's a grass pupper. 12/10 https://t.co/2d68FmWGGs,"https://twitter.com/dog_rates/status/675334060156301312/photo/1,https://twitter.com/dog_rates/status/675334060156301312/photo/1",12.0,10,None,pupper,2612.0,1207.0,https://pbs.twimg.com/media/CV9EvZNUwAAgLCK.jpg,2.0,1.0,Pembroke,0.773135,True
4622,675334060156301312,2015-12-11 15:19:21 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good morning here's a grass pupper. 12/10 https://t.co/2d68FmWGGs,"https://twitter.com/dog_rates/status/675334060156301312/photo/1,https://twitter.com/dog_rates/status/675334060156301312/photo/1",12.0,10,None,pupper,2612.0,1207.0,https://pbs.twimg.com/media/CV9EvZNUwAAgLCK.jpg,2.0,2.0,Cardigan,0.11681,True
4623,675334060156301312,2015-12-11 15:19:21 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good morning here's a grass pupper. 12/10 https://t.co/2d68FmWGGs,"https://twitter.com/dog_rates/status/675334060156301312/photo/1,https://twitter.com/dog_rates/status/675334060156301312/photo/1",12.0,10,None,pupper,2612.0,1207.0,https://pbs.twimg.com/media/CV9EvZNUwAAgLCK.jpg,2.0,3.0,chow,0.0390362,True
4625,675166823650848770,2015-12-11 04:14:49 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Arnold. He broke his leg saving a handicapped child from a forest fire. True hero. 10/10 inspirational dog https://t.co/bijCeHeX4C,https://twitter.com/dog_rates/status/675166823650848770/photo/1,10.0,10,Arnold,,3340.0,1479.0,https://pbs.twimg.com/media/CV6spB7XAAIpMyP.jpg,1.0,2.0,standard_poodle,0.132569,True
